track_id,track_name,track_artist,popularity_2023,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_2025,season,year,period,popularity_categorized
4u9QsEY02G3bJZSWgBdiva,unpredictable - main,jamie foxx,38,037f2EiD06rsACoW6WsmYP,unpredictable,2005-01-01,urban contemporary,7en9i0JMyJlRFX4r4XrXXx,r&b,urban contemporary,0.734,0.595,9,-8.466,1,0.2,0.207,0.0,0.0682,0.779,145.19,219867,38,,2005,2000s,famous
0F7rEdewJ6cSLylOZZpDu7,i'm sprung,t-pain,67,67kj88d9xbscqqG8EdMpIu,rappa ternt sanga,2005-01-01,90s/00s Hip Hop & RnB,0Ar0Ng9DlAWZtSPBvOQgOa,r&b,hip pop,0.722,0.329,0,-11.617,0,0.108,0.088,0.0,0.081,0.166,99.991,230713,0,,2005,2000s,hardly recognizable
40gDRdKSnvuYSESfYOTLyH,love is the seventh wave,the duhks,28,67fL5oCCKrEMS7iMWh15m5,the duhks,2005-01-01,Bluegrass Covers,37i9dQZF1DX56crgoe4TG3,r&b,hip pop,0.533,0.388,0,-10.334,1,0.104,0.575,0.0,0.248,0.919,137.852,205373,22,,2005,2000s,hardly recognizable
6LGTXFy9KNQeBjUHT9fPFh,dancehall queen (feat. chevelle franklyn),beenie man,46,43leIoAGMe8wnHSpid198y,best of (collector's edition),2005-01-01,"Swingbeat (old skool), New Jack Swing, R&B, Hip Hop, Urban",3krpccUV68nBGAQbvHEZDC,r&b,new jack swing,0.837,0.859,10,-6.027,0,0.0786,0.00288,0.0,0.112,0.632,102.788,204413,51,,2005,2000s,famous
0rcuDEcrzF4Zo6ZbUEhaIn,believe,raheem devaughn,39,00qCxnQQPsveeZWZaNVWo0,the love experience,2005-01-01,Neo Soul Music,78RRvktrPMSqAoCI21mNOe,r&b,neo soul,0.622,0.312,3,-7.834,0,0.049,0.493,0.0,0.144,0.518,123.821,312920,36,,2005,2000s,famous
3aNxoS85gPgXzaVMQ6N5ui,a change is gonna come,leela james,43,1PI1juIuPm3zq1nIOBJl5S,a change is gonna come (u.s. release),2005-01-01,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.661,0.311,10,-7.848,1,0.028,0.656,0.134,0.109,0.148,137.407,215040,42,,2005,2000s,famous
7lWv5nVZoX3Dkk2KnZS2jV,how do i let a good man down?,sharon jones & the dap-kings,28,1ARyfw246YulT9j3B2qfXl,naturally,2005-01-01,NEO FUNK AND SOUL,2WbTrS5D0V2TW6DiDkJBru,r&b,neo soul,0.656,0.964,7,-3.862,1,0.0552,0.219,0.324,0.0805,0.871,123.137,182827,0,,2005,2000s,hardly recognizable
5tUXQvc0yMQD42799A1mec,guess who loves you more,raheem devaughn,47,00qCxnQQPsveeZWZaNVWo0,the love experience,2005-01-01,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul,0.764,0.507,5,-8.199,0,0.153,0.153,0.0,0.0879,0.809,77.256,320027,43,,2005,2000s,famous
5M1tzhbcYFY8DwPFDLSJXG,until,raheem devaughn,21,00qCxnQQPsveeZWZaNVWo0,the love experience,2005-01-01,Neo Soul,2YPP7fiYu5pIcp2yyHvw4A,r&b,neo soul,0.582,0.658,1,-8.124,0,0.241,0.147,0.0,0.254,0.654,77.959,309200,19,,2005,2000s,hardly recognizable
1MvH3FdvO17S2eQ4IeNRCo,bluebird,one self,50,2GJdJQNe5lCntmUIArrE59,children of possibility,2005-01-01,Saxophone in Hip Hop - R&B Lounge - Jazz Rap,2ujrP2rPxu8ao7wNeG1ZOY,r&b,neo soul,0.78,0.797,9,-5.964,0,0.307,0.129,0.0,0.0929,0.648,86.235,220413,55,,2005,2000s,famous
5ciOELC8e3GeHoER1o5SSg,trippin',canton jones,8,0aCE378H5gdoAfDl152Ebf,access granted: the password,2005-01-01,Gospel Neo Soul,2wP2UAYC4Nqb6oUXkMJlAz,r&b,neo soul,0.567,0.61,2,-6.999,1,0.139,0.153,3.24e-06,0.0832,0.715,80.933,200973,0,,2005,2000s,hardly recognizable
6Cl90cl4efMaG05Xm4LjDN,music,leela james,46,1PI1juIuPm3zq1nIOBJl5S,a change is gonna come (u.s. release),2005-01-01,Neo-Soul Essentials,0DIwi1dMI59NItQtiNcevy,r&b,neo soul,0.778,0.636,1,-6.539,1,0.129,0.501,4.25e-05,0.106,0.52,98.008,245426,46,,2005,2000s,famous
